,dataset,metric,1vsall_dm_relu_normalized
560,contrast_1,loss,1.6882767677307131
561,contrast_1,logits_loss,1.5899722576141355
566,contrast_1,acc,0.8587582111358643
567,contrast_1,ece,0.08091612160205841
568,contrast_1,nll,0.4870174825191498
569,contrast_1,brier,0.2733261585235596
570,contrast_2,loss,1.8151817321777344
571,contrast_2,logits_loss,1.7168772220611572
576,contrast_2,acc,0.8079769611358643
577,contrast_2,ece,0.055271029472351074
578,contrast_2,nll,0.5965883731842041
579,contrast_2,brier,0.3331102430820465
580,contrast_3,loss,1.9490667581558228
581,contrast_3,logits_loss,1.8507623672485352
586,contrast_3,acc,0.7587376832962036
587,contrast_3,ece,0.059149440377950675
588,contrast_3,nll,0.7111896872520447
589,contrast_3,brier,0.3975100815296173
590,contrast_4,loss,2.2320692539215092
591,contrast_4,logits_loss,2.1337645053863525
596,contrast_4,acc,0.6501850485801697
597,contrast_4,ece,0.07230210304260254
598,contrast_4,nll,0.9555124044418336
599,contrast_4,brier,0.5282337069511414
600,contrast_5,loss,3.13810396194458
601,contrast_5,logits_loss,3.039799213409424
606,contrast_5,acc,0.3067434132099152
607,contrast_5,ece,0.2638322710990906
608,contrast_5,nll,1.7343978881835938
609,contrast_5,brier,0.9299294352531432
610,elastic_1,loss,1.7539315223693848
611,elastic_1,logits_loss,1.6556270122528076
616,elastic_1,acc,0.8318256735801697
617,elastic_1,ece,0.07002977281808853
618,elastic_1,nll,0.5450494885444641
619,elastic_1,brier,0.30241307616233826
620,elastic_2,loss,1.7345939874649048
621,elastic_2,logits_loss,1.6362899541854858
626,elastic_2,acc,0.8408716917037964
627,elastic_2,ece,0.07514608651399612
628,elastic_2,nll,0.5277032256126404
629,elastic_2,brier,0.2934904992580414
630,elastic_3,loss,1.7446813583374023
631,elastic_3,logits_loss,1.6463770866394043
636,elastic_3,acc,0.8386101722717285
637,elastic_3,ece,0.0710570439696312
638,elastic_3,nll,0.5344228744506836
639,elastic_3,brier,0.3011707067489624
640,elastic_4,loss,1.8830716609954836
641,elastic_4,logits_loss,1.7847671508789062
646,elastic_4,acc,0.7868009805679321
647,elastic_4,ece,0.05653044581413269
648,elastic_4,nll,0.6537459492683411
649,elastic_4,brier,0.3666350841522217
650,elastic_5,loss,2.1313185691833496
651,elastic_5,logits_loss,2.0330138206481934
656,elastic_5,acc,0.6963404417037964
657,elastic_5,ece,0.06225439161062241
658,elastic_5,nll,0.871738851070404
659,elastic_5,brier,0.4784964919090271
660,pixelate_1,loss,1.7393975257873535
661,pixelate_1,logits_loss,1.6410932540893557
666,pixelate_1,acc,0.8427220582962036
667,pixelate_1,ece,0.07905297726392746
668,pixelate_1,nll,0.5353547930717468
669,pixelate_1,brier,0.2926541268825531
670,pixelate_2,loss,1.8658094406127932
671,pixelate_2,logits_loss,1.7675050497055054
676,pixelate_2,acc,0.7985197305679321
677,pixelate_2,ece,0.062088653445243835
678,pixelate_2,nll,0.6482197642326355
679,pixelate_2,brier,0.3487269878387451
680,pixelate_3,loss,1.9674730300903318
681,pixelate_3,logits_loss,1.869168758392334
686,pixelate_3,acc,0.7604851722717285
687,pixelate_3,ece,0.058627676218748086
688,pixelate_3,nll,0.7399176359176636
689,pixelate_3,brier,0.3919231295585632
690,pixelate_4,loss,2.3735222816467285
691,pixelate_4,logits_loss,2.2752175331115723
696,pixelate_4,acc,0.6159539222717285
697,pixelate_4,ece,0.08879394084215164
698,pixelate_4,nll,1.0977710485458374
699,pixelate_4,brier,0.5747828483581543
700,pixelate_5,loss,2.915682077407837
701,pixelate_5,logits_loss,2.8173773288726807
706,pixelate_5,acc,0.42516446113586426
707,pixelate_5,ece,0.24592435359954834
708,pixelate_5,nll,1.5659780502319336
709,pixelate_5,brier,0.8262380361557007
710,jpeg_compression_1,loss,1.8668118715286253
711,jpeg_compression_1,logits_loss,1.768507719039917
716,jpeg_compression_1,acc,0.7940995097160339
717,jpeg_compression_1,ece,0.06705805659294127
718,jpeg_compression_1,nll,0.6447418332099915
719,jpeg_compression_1,brier,0.35556501150131226
720,jpeg_compression_2,loss,1.9632357358932493
721,jpeg_compression_2,logits_loss,1.8649312257766724
726,jpeg_compression_2,acc,0.7593544125556946
727,jpeg_compression_2,ece,0.056808188557624824
728,jpeg_compression_2,nll,0.7285280227661133
729,jpeg_compression_2,brier,0.4011686444282532
730,jpeg_compression_3,loss,1.9845123291015625
731,jpeg_compression_3,logits_loss,1.886208176612854
736,jpeg_compression_3,acc,0.75
737,jpeg_compression_3,ece,0.044704608619213104
738,jpeg_compression_3,nll,0.7480750679969788
739,jpeg_compression_3,brier,0.4087173938751221
740,jpeg_compression_4,loss,2.0221779346466064
